#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         682     1.16613      1.3857   0.0145944
         683     1.18779     1.38541    0.014576
         684     1.20948     1.38515   0.0145569
         685     1.23109     1.38493   0.0145374
         686     1.25373     1.38474   0.0145175
         687     1.27632     1.38458   0.0144972
         688     1.29852     1.38445   0.0144767
         689     1.32238     1.38436   0.0144559
         690     1.34516     1.38431   0.0144351
         691     1.36772     1.38428   0.0144142
         692     1.39068     1.38429   0.0143934
         693     1.41227     1.38433   0.0143727
         694     1.43407      1.3844   0.0143521
         695      1.4548      1.3845   0.0143319
         696     1.47534     1.38463   0.0143119
         697     1.49538     1.38479   0.0142922
         698     1.51411     1.38498   0.0142729
         699     1.53148     1.38519    0.014254
         700     1.54885     1.38542   0.0142356
         701     1.56425     1.38568   0.0142176
         702     1.57835     1.38595      0.0142
         703      1.5918     1.38624   0.0141828
         704     1.60407     1.38655    0.014166
         705     1.61414     1.38688   0.0141496
         706     1.62415     1.38721   0.0141336
         707     1.63258     1.38756   0.0141178
         708      1.6394     1.38792   0.0141024
         709     1.64504     1.38828   0.0140871
         710     1.64922     1.38865   0.0140721
         711     1.65165     1.38902   0.0140572
         712     1.65254     1.38939   0.0140423
         713     1.65234     1.38975   0.0140274
         714     1.64956     1.39012   0.0140125
         715     1.64492     1.39047   0.0139974
         716     1.64104     1.39082   0.0139823
         717     1.63383     1.39116   0.0139669
         718     1.62643     1.39149   0.0139513
         719     1.61669      1.3918   0.0139354
         720     1.60438      1.3921   0.0139191
         721     1.59126     1.39238   0.0139026
         722     1.57663     1.39263   0.0138857
         723     1.56058     1.39286   0.0138684
         724      1.5427     1.39307   0.0138508
         725     1.52356     1.39325   0.0138329
         726     1.50351      1.3934   0.0138146
         727      1.4829     1.39353   0.0137962
         728     1.46088     1.39362   0.0137775
         729     1.43805     1.39368   0.0137588
         730      1.4155     1.39371     0.01374
         731     1.39096      1.3937   0.0137212
