#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         438     1.08168     1.21319    0.012722
         439     1.08139     1.21289   0.0126966
         440     1.08102     1.21259   0.0126713
         441     1.08054      1.2123   0.0126461
         442     1.07996       1.212    0.012621
         443     1.07928      1.2117   0.0125961
         444     1.07849      1.2114   0.0125713
         445     1.07759      1.2111   0.0125466
         446     1.07659     1.21079   0.0125221
         447     1.07551     1.21049   0.0124977
         448     1.07434     1.21019   0.0124735
         449     1.07309     1.20988   0.0124495
         450     1.07179     1.20958   0.0124256
         451     1.07044     1.20927   0.0124019
         452     1.06904     1.20896   0.0123783
         453     1.06763     1.20864   0.0123549
         454      1.0662     1.20833   0.0123317
         455     1.06476     1.20802   0.0123086
         456     1.06333      1.2077   0.0122857
         457     1.06191     1.20738    0.012263
         458     1.06052     1.20706   0.0122404
         459     1.05916     1.20674    0.012218
         460     1.05783     1.20641   0.0121957
         461     1.05654     1.20609   0.0121736
         462      1.0553     1.20576   0.0121516
         463     1.05411     1.20543   0.0121298
         464     1.05297      1.2051   0.0121081
         465      1.0519     1.20478   0.0120865
         466      1.0509     1.20445   0.0120651
         467     1.04996     1.20411   0.0120438
         468      1.0491     1.20378   0.0120226
         469     1.04833     1.20345   0.0120016
         470     1.04764     1.20312   0.0119806
         471     1.04705     1.20279   0.0119597
         472     1.04657     1.20246    0.011939
         473      1.0462     1.20213   0.0119183
         474     1.04594      1.2018   0.0118977
         475     1.04581     1.20147   0.0118772
         476      1.0458     1.20114   0.0118568
         477     1.04592     1.20082   0.0118364
         478     1.04617     1.20049    0.011816
         479     1.04655     1.20017   0.0117957
         480     1.04704     1.19985   0.0117755
         481     1.04764     1.19954   0.0117552
         482     1.04835     1.19922    0.011735
         483     1.04914     1.19891   0.0117148
         484     1.05001      1.1986   0.0116947
         485     1.05094      1.1983   0.0116745
         486     1.05189       1.198   0.0116544
         487     1.05287      1.1977   0.0116343
         488     1.05384     1.19741   0.0116142
         489     1.05479     1.19711   0.0115941
         490     1.05569     1.19683    0.011574
         491     1.05653     1.19654    0.011554
         492     1.05728     1.19626   0.0115339
         493     1.05794     1.19598    0.011514
         494     1.05847      1.1957    0.011494
         495     1.05888     1.19542   0.0114741
         496     1.05915     1.19515   0.0114543
         497     1.05927     1.19487   0.0114345
         498     1.05923      1.1946   0.0114148
         499     1.05902     1.19433   0.0113951
         500     1.05864     1.19406   0.0113756
         501     1.05809     1.19379   0.0113561
         502     1.05736     1.19352   0.0113367
         503     1.05645     1.19324   0.0113175
         504     1.05536     1.19297   0.0112983
         505     1.05409     1.19269   0.0112793
         506     1.05266     1.19242   0.0112604
         507     1.05105     1.19214   0.0112416
         508     1.04928     1.19186    0.011223
         509     1.04736     1.19157   0.0112046
         510     1.04529     1.19129   0.0111863
         511     1.04308       1.191   0.0111681
         512     1.04076      1.1907   0.0111502
         513     1.03832     1.19041   0.0111324
         514     1.03579     1.19011   0.0111148
         515     1.03318      1.1898   0.0110974
         516     1.03052     1.18949   0.0110802
         517      1.0278     1.18918   0.0110632
         518     1.02507     1.18886   0.0110463
         519     1.02232     1.18854   0.0110297
         520     1.01959     1.18822   0.0110133
         521     1.01687     1.18789   0.0109971
         522     1.01419     1.18755    0.010981
         523     1.01156     1.18722   0.0109652
         524     1.00899     1.18688   0.0109495
         525     1.00648     1.18653   0.0109341
         526     1.00405     1.18619   0.0109188
         527      1.0017     1.18584   0.0109037
         528    0.999419     1.18548   0.0108887
         529     0.99722     1.18513    0.010874
         530    0.995097     1.18477   0.0108594
         531    0.993049     1.18441   0.0108449
         532    0.991073     1.18405   0.0108306
         533    0.989166     1.18368   0.0108165
